id,customer_id,status,total_amount
1,70297,DELIVERED,38.71
2,77028,DELIVERED,141.46
3,555,DELIVERED,179.12
4,61082,DELIVERED,72.2
5,67264,DELIVERED,28.62
6,68382,DELIVERED,175.26
7,76074,CONFIRMED,65.95
8,86946,DELIVERED,75.16
9,35467,DELIVERED,35.95
10,90726,DELIVERED,169.76
11,22406,DELIVERED,259.06
12,91847,DELIVERED,114.13
13,1709,DELIVERED,50.13
14,94008,DELIVERED,32.7
15,17591,DELIVERED,54.36
16,2041,DELIVERED,146.45
17,82724,DELIVERED,1376.45
18,8412,DELIVERED,43.09
19,48228,DELIVERED,29.75
20,1206,DELIVERED,92.97
21,1840,DELIVERED,118.86
22,10351,DELIVERED,88.9
23,92016,DELIVERED,17.28
24,88973,DELIVERED,187.57
25,22326,DELIVERED,104.11
26,34017,DELIVERED,125.43
27,79984,DELIVERED,227.68
28,13619,DELIVERED,60.69
29,81807,DELIVERED,192.68
30,23506,DELIVERED,63.34
31,38731,DELIVERED,313.19
32,74810,DELIVERED,224.9
33,70242,DELIVERED,63.1
34,47870,DELIVERED,100.25
35,11281,DELIVERED,188.41
36,60860,DELIVERED,106.95
37,30384,DELIVERED,66.79
38,30550,DELIVERED,43.0
39,81160,DELIVERED,508.17
40,42989,DELIVERED,49.69
41,48509,DELIVERED,154.19
42,68329,DELIVERED,356.12
43,42943,DELIVERED,95.67
44,78250,DELIVERED,121.62
45,21683,SHIPPED,22.36
46,6572,DELIVERED,153.72
47,1292,DELIVERED,54.82
48,93306,DELIVERED,82.33
49,56854,DELIVERED,52.24
50,87777,DELIVERED,130.56
51,94124,DELIVERED,52.84
52,3758,DELIVERED,71.91
53,88232,DELIVERED,151.04
54,89479,DELIVERED,386.33
55,41699,DELIVERED,50.25
56,18603,DELIVERED,128.68
57,99026,DELIVERED,43.46
58,52090,DELIVERED,91.68
59,83969,DELIVERED,99.26
60,22223,DELIVERED,141.15
61,47390,DELIVERED,91.66
62,50749,DELIVERED,53.66
63,64658,DELIVERED,317.34
64,13700,DELIVERED,43.0
65,83706,DELIVERED,346.09
66,61925,DELIVERED,824.76
67,43389,DELIVERED,39.99
68,23180,DELIVERED,392.6
69,14162,DELIVERED,55.02
70,76192,DELIVERED,46.2
71,77676,DELIVERED,59.34
72,75220,DELIVERED,209.41
73,16481,DELIVERED,57.0
74,63868,DELIVERED,84.56
75,68044,DELIVERED,267.8
76,19506,DELIVERED,145.66
77,65599,DELIVERED,37.83
78,94697,DELIVERED,234.28
79,78394,DELIVERED,201.82
80,85842,DELIVERED,27.77
81,59529,DELIVERED,59.1
82,87127,DELIVERED,66.98
83,73404,DELIVERED,132.26
84,46565,DELIVERED,63.34
85,57340,DELIVERED,231.12
86,43084,DELIVERED,574.36
87,52017,DELIVERED,29.92
88,99334,DELIVERED,409.79
89,87098,DELIVERED,62.69
90,11359,DELIVERED,105.56
91,74253,DELIVERED,37.38
92,9243,DELIVERED,76.65
93,88233,DELIVERED,120.84
94,22677,DELIVERED,238.69
95,28567,DELIVERED,772.08
96,87405,DELIVERED,103.27
97,87717,DELIVERED,23.69
98,71525,DELIVERED,101.74
99,41770,DELIVERED,28.86
100,88009,DELIVERED,117.77
101,74404,DELIVERED,172.14
102,18137,DELIVERED,42.59
103,88457,DELIVERED,21.38
104,41228,CONFIRMED,50.35
105,41626,DELIVERED,554.4
106,9913,DELIVERED,96.01
107,27648,DELIVERED,609.9
108,9214,DELIVERED,42.4
109,68798,DELIVERED,253.4
110,12496,DELIVERED,28.62
111,70537,DELIVERED,40.09
112,91092,DELIVERED,26.44
113,60965,DELIVERED,132.88
114,93532,DELIVERED,111.89
115,2562,DELIVERED,231.79
116,54042,DELIVERED,135.51
117,44641,DELIVERED,38.1
118,7440,DELIVERED,74.03
119,94709,DELIVERED,58.0
120,78497,DELIVERED,66.02
121,62814,DELIVERED,53.2
122,77720,DELIVERED,518.39
123,33734,DELIVERED,78.15
124,48195,DELIVERED,84.57
125,53744,DELIVERED,155.0
126,91947,DELIVERED,142.16
127,96556,DELIVERED,141.9
128,16010,DELIVERED,113.62
129,33482,PENDING,138.28
130,85339,DELIVERED,161.77
131,72050,DELIVERED,95.52
132,49842,DELIVERED,68.59
133,2310,DELIVERED,106.38
134,88751,DELIVERED,141.67
135,36381,DELIVERED,89.88
136,64981,DELIVERED,187.2
137,78857,DELIVERED,118.35
138,10402,DELIVERED,309.72
139,43596,DELIVERED,38.47
140,27384,DELIVERED,312.91
141,42850,DELIVERED,51.79
142,48477,DELIVERED,232.14
143,65231,DELIVERED,22.79
144,13857,DELIVERED,67.5
145,54234,DELIVERED,156.67
146,86664,DELIVERED,53.83
147,35353,DELIVERED,299.72
148,41485,DELIVERED,314.34
149,64675,DELIVERED,97.88
150,22283,DELIVERED,75.18
151,5030,DELIVERED,161.3
152,8237,DELIVERED,117.45
153,1895,DELIVERED,170.43
154,60431,DELIVERED,141.06
155,53696,SHIPPED,69.12
156,8164,DELIVERED,134.58
157,36545,DELIVERED,59.85
158,66628,DELIVERED,68.63
159,98873,DELIVERED,86.05
160,39913,DELIVERED,64.74
161,40862,DELIVERED,217.78
162,35148,DELIVERED,67.5
163,40813,SHIPPED,63.79
164,68375,DELIVERED,215.14
165,42748,DELIVERED,126.67
166,86881,DELIVERED,285.59
167,59844,DELIVERED,145.5
168,86991,DELIVERED,43.29
169,57617,DELIVERED,38.41
170,28697,DELIVERED,402.49
171,69126,DELIVERED,110.89
172,10945,DELIVERED,204.45
173,33032,DELIVERED,109.35
174,19454,DELIVERED,74.74
175,22305,DELIVERED,56.86
176,92099,DELIVERED,97.81
177,74247,DELIVERED,133.25
178,51335,DELIVERED,180.95
179,91912,DELIVERED,445.32
180,63775,DELIVERED,52.51
181,48324,DELIVERED,124.16
182,74712,DELIVERED,65.47
183,28225,DELIVERED,98.16
184,94208,DELIVERED,40.78
185,35649,DELIVERED,273.27
186,82594,DELIVERED,106.73
187,66194,DELIVERED,187.19
188,41296,DELIVERED,389.82
189,54130,DELIVERED,393.46
190,82475,DELIVERED,122.22
191,51551,DELIVERED,698.85
192,28812,DELIVERED,99.33
193,57884,DELIVERED,58.28
194,16136,DELIVERED,77.03
195,59734,DELIVERED,49.73
196,24759,DELIVERED,139.8
197,48810,DELIVERED,86.36
198,89781,DELIVERED,423.67
199,96010,DELIVERED,108.01
200,45116,DELIVERED,35.36
201,14850,DELIVERED,305.7
202,42361,DELIVERED,216.26
203,23791,DELIVERED,83.05
204,29593,DELIVERED,121.68
205,77597,DELIVERED,57.68
206,22089,DELIVERED,92.97
207,96690,DELIVERED,35.24
208,98919,DELIVERED,286.54
209,12090,DELIVERED,78.09
210,89810,DELIVERED,301.19
211,29818,DELIVERED,140.88
212,84950,DELIVERED,41.69
213,44738,DELIVERED,20.75
214,19710,DELIVERED,165.4
215,23134,DELIVERED,102.56
216,37047,DELIVERED,84.64
217,64951,DELIVERED,446.51
218,70715,DELIVERED,217.78
219,4752,DELIVERED,138.09
220,11377,DELIVERED,50.68
221,43522,DELIVERED,170.1
222,83806,DELIVERED,89.88
223,6251,DELIVERED,103.55
224,57849,DELIVERED,160.14
225,21370,DELIVERED,46.0
226,40641,DELIVERED,63.46
227,30300,DELIVERED,145.0
228,13191,DELIVERED,136.4
229,30734,DELIVERED,34.24
230,53762,DELIVERED,146.44
231,11742,DELIVERED,257.94
232,73726,SHIPPED,240.23
233,63319,DELIVERED,80.1
234,7466,DELIVERED,74.16
235,52540,DELIVERED,338.0
236,94468,DELIVERED,183.65
237,99200,DELIVERED,18.62
238,52916,DELIVERED,753.94
239,47185,DELIVERED,64.09
240,44953,DELIVERED,59.47
241,75247,DELIVERED,91.18
242,76326,DELIVERED,83.33
243,91569,DELIVERED,28.46
244,62789,DELIVERED,53.3
245,31096,DELIVERED,76.29
246,78004,DELIVERED,403.32
247,50776,DELIVERED,95.21
248,34227,DELIVERED,103.5
249,83175,DELIVERED,211.89
250,61758,DELIVERED,111.4
251,77604,DELIVERED,143.32
252,25629,DELIVERED,45.95
253,66508,DELIVERED,223.26
254,23741,DELIVERED,124.7
255,57671,DELIVERED,41.69
256,58501,DELIVERED,216.93
257,28250,DELIVERED,241.74
258,55613,DELIVERED,136.37
259,79017,DELIVERED,30.96
260,83137,DELIVERED,48.83
261,6743,DELIVERED,75.1
262,84661,DELIVERED,76.67
263,53133,DELIVERED,198.12
264,46144,DELIVERED,132.05
265,7245,DELIVERED,112.46
266,9886,DELIVERED,84.43
267,10726,CANCELLED,0.0
