id,name,description,price,stock_quantity,category_id
1,ShopX perfumery Product 1,ShopX catalog item in perfumery. Photos=1; weight_g=225.0.,10.91,11,63
2,ShopX art Product 2,ShopX catalog item in art. Photos=1; weight_g=1000.0.,248.0,11,6
3,ShopX sports_leisure Product 3,ShopX catalog item in sports_leisure. Photos=1; weight_g=154.0.,79.8,11,69
4,ShopX baby Product 4,ShopX catalog item in baby. Photos=1; weight_g=371.0.,112.3,11,10
5,ShopX housewares Product 5,ShopX catalog item in housewares. Photos=4; weight_g=625.0.,37.9,11,53
6,ShopX musical_instruments Product 6,ShopX catalog item in musical_instruments. Photos=1; weight_g=200.0.,45.87,11,60
7,ShopX cool_stuff Product 7,ShopX catalog item in cool_stuff. Photos=4; weight_g=18350.0.,963.0,11,24
8,ShopX furniture_decor Product 8,ShopX catalog item in furniture_decor. Photos=2; weight_g=900.0.,9.99,12,43
9,ShopX home_appliances Product 9,ShopX catalog item in home_appliances. Photos=1; weight_g=400.0.,10.4,11,48
10,ShopX toys Product 10,ShopX catalog item in toys. Photos=1; weight_g=600.0.,82.9,11,73
11,ShopX bed_bath_table Product 11,ShopX catalog item in bed_bath_table. Photos=1; weight_g=1100.0.,71.99,11,11
12,ShopX baby Product 12,ShopX catalog item in baby. Photos=4; weight_g=7150.0.,239.0,11,10
13,ShopX musical_instruments Product 13,ShopX catalog item in musical_instruments. Photos=3; weight_g=250.0.,207.25,11,60
14,ShopX furniture_decor Product 14,ShopX catalog item in furniture_decor. Photos=2; weight_g=600.0.,59.9,11,43
15,ShopX construction_tools_safety Product 15,ShopX catalog item in construction_tools_safety. Photos=4; weight_g=200.0.,226.18,11,23
16,ShopX sports_leisure Product 16,ShopX catalog item in sports_leisure. Photos=1; weight_g=800.0.,26.7,11,69
17,ShopX perfumery Product 17,ShopX catalog item in perfumery. Photos=2; weight_g=400.0.,16.9,11,63
18,ShopX computers_accessories Product 18,ShopX catalog item in computers_accessories. Photos=1; weight_g=900.0.,69.9,11,19
19,ShopX furniture_decor Product 19,ShopX catalog item in furniture_decor. Photos=2; weight_g=1700.0.,49.7,11,43
20,ShopX bed_bath_table Product 20,ShopX catalog item in bed_bath_table. Photos=1; weight_g=500.0.,41.99,11,11
21,ShopX furniture_decor Product 21,ShopX catalog item in furniture_decor. Photos=4; weight_g=2550.0.,111.9,11,43
22,ShopX bed_bath_table Product 22,ShopX catalog item in bed_bath_table. Photos=2; weight_g=800.0.,145.0,11,11
23,ShopX health_beauty Product 23,ShopX catalog item in health_beauty. Photos=3; weight_g=75.0.,29.9,11,47
24,ShopX baby Product 24,ShopX catalog item in baby. Photos=1; weight_g=500.0.,48.9,11,10
25,ShopX furniture_decor Product 25,ShopX catalog item in furniture_decor. Photos=1; weight_g=1800.0.,79.9,12,43
26,ShopX housewares Product 26,ShopX catalog item in housewares. Photos=1; weight_g=900.0.,69.9,11,53
27,ShopX luggage_accessories Product 27,ShopX catalog item in luggage_accessories. Photos=5; weight_g=3600.0.,349.9,11,57
28,ShopX computers_accessories Product 28,ShopX catalog item in computers_accessories. Photos=2; weight_g=300.0.,38.9,11,19
29,ShopX computers_accessories Product 29,ShopX catalog item in computers_accessories. Photos=2; weight_g=740.0.,208.0,11,19
30,ShopX sports_leisure Product 30,ShopX catalog item in sports_leisure. Photos=2; weight_g=3600.0.,285.0,11,69
31,ShopX bed_bath_table Product 31,ShopX catalog item in bed_bath_table. Photos=1; weight_g=650.0.,41.99,11,11
32,ShopX garden_tools Product 32,ShopX catalog item in garden_tools. Photos=9; weight_g=2150.0.,199.0,11,46
33,ShopX furniture_decor Product 33,ShopX catalog item in furniture_decor. Photos=1; weight_g=800.0.,64.9,11,43
34,ShopX office_furniture Product 34,ShopX catalog item in office_furniture. Photos=1; weight_g=8950.0.,79.99,12,61
35,ShopX sports_leisure Product 35,ShopX catalog item in sports_leisure. Photos=4; weight_g=1388.0.,19.9,11,69
36,ShopX baby Product 36,ShopX catalog item in baby. Photos=9; weight_g=7950.0.,103.37,11,10
37,ShopX auto Product 37,ShopX catalog item in auto. Photos=2; weight_g=6000.0.,115.0,11,9
38,ShopX electronics Product 38,ShopX catalog item in electronics. Photos=1; weight_g=263.0.,24.0,11,30
39,ShopX housewares Product 39,ShopX catalog item in housewares. Photos=1; weight_g=3900.0.,79.99,11,53
40,ShopX furniture_decor Product 40,ShopX catalog item in furniture_decor. Photos=1; weight_g=600.0.,39.0,12,43
41,ShopX furniture_decor Product 41,ShopX catalog item in furniture_decor. Photos=2; weight_g=2050.0.,139.9,11,43
42,ShopX toys Product 42,ShopX catalog item in toys. Photos=2; weight_g=725.0.,97.14,11,73
43,ShopX bed_bath_table Product 43,ShopX catalog item in bed_bath_table. Photos=4; weight_g=6350.0.,107.6,11,11
44,ShopX baby Product 44,ShopX catalog item in baby. Photos=4; weight_g=600.0.,83.9,11,10
45,ShopX cool_stuff Product 45,ShopX catalog item in cool_stuff. Photos=2; weight_g=11750.0.,469.99,11,24
46,ShopX toys Product 46,ShopX catalog item in toys. Photos=3; weight_g=2550.0.,129.99,11,73
47,ShopX cool_stuff Product 47,ShopX catalog item in cool_stuff. Photos=3; weight_g=15350.0.,610.0,23,24
48,ShopX furniture_decor Product 48,ShopX catalog item in furniture_decor. Photos=2; weight_g=1300.0.,39.9,11,43
49,ShopX furniture_decor Product 49,ShopX catalog item in furniture_decor. Photos=2; weight_g=850.0.,148.0,11,43
50,ShopX health_beauty Product 50,ShopX catalog item in health_beauty. Photos=1; weight_g=1300.0.,92.9,11,47
51,ShopX sports_leisure Product 51,ShopX catalog item in sports_leisure. Photos=5; weight_g=4800.0.,1090.0,11,69
52,ShopX cool_stuff Product 52,ShopX catalog item in cool_stuff. Photos=2; weight_g=1300.0.,49.9,11,24
53,ShopX auto Product 53,ShopX catalog item in auto. Photos=1; weight_g=220.0.,59.9,11,9
54,ShopX baby Product 54,ShopX catalog item in baby. Photos=4; weight_g=5700.0.,229.0,11,10
55,ShopX luggage_accessories Product 55,ShopX catalog item in luggage_accessories. Photos=2; weight_g=450.0.,169.9,11,57
56,ShopX fashion_shoes Product 56,ShopX catalog item in fashion_shoes. Photos=2; weight_g=2000.0.,349.9,11,35
57,ShopX telephony Product 57,ShopX catalog item in telephony. Photos=2; weight_g=100.0.,25.99,11,72
